ingredient_name,recipe_count,recipe_names
Fresh Lemon Juice,21,Aviation; Bee’s Knees; Between The Sheets; Bloody Mary; Bramble; Brandy Crusta; Casino; Clover Club; Corpse Reviver #2; French 75; Gin Fizz; John Collins; Paper Plane; Pisco Punch; Pisco Sour; Ramos Fizz; Russian Spring Punch; Sidecar; Trinidad Sour; Whiskey Sour; White Lady
Gin,19,Angel Face; Aviation; Bramble; Cardinale; Clover Club; Corpse Reviver #2; Dry Martini; French 75; Gin Fizz; John Collins; Last Word; Long Island Iced Tea; Negroni; Paradise; Ramos Fizz; Singapore Sling; Suffering Bastard; Vesper; White Lady
Fresh Lime Juice,17,Canchanchara; Chartreuse Swizzle; Cosmopolitan; Cuba Libre; Daiquiri; Grand Margarita; Iba Tiki; Illegal; Last Word; Mojito; Naked And Famous; Old Cuban; Ramos Fizz; Singapore Sling; Spicy Fifty; Suffering Bastard; Tommy’s Margarita
Vodka,10,Black Russian; Bloody Mary; Espresso Martini; French Martini; Lemon Drop Martini; Long Island Iced Tea; Russian Spring Punch; Sea Breeze; Sex On The Beach; Vesper
Cognac,9,Alexander; Between The Sheets; Champagne Cocktail; French Connection; Horse’s Neck; Sazerac; Sidecar; Stinger; Vieux Carré
Simple Syrup,8,Brandy Crusta; Gin Fizz; Illegal; John Collins; Mai-Tai; Old Cuban; Pisco Punch; Pisco Sour
Sweet Red Vermouth,7,Americano; Boulevardier; Hanky Panky; Manhattan; Martinez; Negroni; Tipperary
Sugar Syrup,7,Bramble; Espresso Martini; French 75; Gin Basil Smash; Ramos Fizz; Russian Spring Punch; Whiskey Sour
Fresh Pineapple Juice,7,Chartreuse Swizzle; French Martini; Iba Tiki; Mary Pickford; Pina Colada; Pisco Punch; Singapore Sling
Angostura Bitters,7,Manhattan; Old Cuban; Old Fashioned; Suffering Bastard; Three Dots And A Dash; Tipperary; Trinidad Sour
Bitter Campari,5,Americano; Boulevardier; Cardinale; Garibaldi; Negroni
Maraschino,5,Aviation; Brandy Crusta; Casino; Last Word; Martinez
Luxardo,5,Aviation; Brandy Crusta; Casino; Last Word; Martinez
Fresh Orange Juice,5,Bee’s Knees; Monkey Gland; Paradise; Sex On The Beach; Tequila Sunrise
Triple Sec,5,Between The Sheets; Lemon Drop Martini; Margarita; Sidecar; White Lady
Maraschino Luxardo,5,Hemingway Special; Iba Tiki; Illegal; Mary Pickford; Tuxedo
White Rum,4,Between The Sheets; Cuba Libre; Mary Pickford; Pina Colada
Falernum,4,Chartreuse Swizzle; Illegal; Three Dots And A Dash; Zombie
Cointreau,4,Corpse Reviver #2; Cosmopolitan; Long Island Iced Tea; Singapore Sling
Fresh lime juice,4,Don’s Special Daiquiri; Missionary’s Downfall; Moscow Mule; Zombie
Rye Whiskey,4,Manhattan; Remember The Maine; Trinidad Sour; Vieux Carré
Honey Syrup,3,Bee’s Knees; Don’s Special Daiquiri; Three Dots And A Dash
Prosecco,3,Bellini; Mimosa; Spritz
Dry Vermouth,3,Cardinale; Dry Martini; Tuxedo
Orange Bitters,3,Casino; Martinez; Tuxedo
Green Chartreuse,3,Chartreuse Swizzle; Last Word; Tipperary
Absinthe,3,Corpse Reviver #2; Remember The Maine; Sazerac
Cranberry Juice,3,Cosmopolitan; Sea Breeze; Sex On The Beach
Egg White (Optional),3,Illegal; Ve.N.To; Whiskey Sour
Soda Water,3,John Collins; Mojito; Ramos Fizz
Simple syrup,3,Long Island Iced Tea; New York Sour; South Side
Grenadine Syrup,3,Mary Pickford; Singapore Sling; Tequila Sunrise
Bourbon Whiskey,3,Mint Julep; Paper Plane; Whiskey Sour
Aperol,3,Naked And Famous; Paper Plane; Spritz
Fresh Cream,2,Alexander; Grasshopper
Apricot Brandy,2,Angel Face; Paradise
Dry Gin,2,Bee’s Knees; Monkey Gland
Bourbon or Rye Whiskey,2,Boulevardier; Old Fashioned
Brandy,2,Brandy Crusta; Porto Flip
White Cane Sugar,2,Caipirinha; Mojito
Water,2,Canchanchara; Mint Julep
Old Tom Gin,2,Casino; Tuxedo
Angostura bitters,2,Champagne Cocktail; Zombie
Egg White,2,Clover Club; New York Sour
Lillet Blanc,2,Corpse Reviver #2; Vesper
Cola,2,Cuba Libre; Long Island Iced Tea
White Cuban Ron,2,Daiquiri; Mojito
Ginger Beer,2,Dark ‘N’ Stormy; Moscow Mule
Tequila 100% agave,2,Grand Margarita; Tommy’s Margarita
London Dry Gin,2,Hanky Panky; Martinez
Grapefruit Juice,2,Hemingway Special; Sea Breeze
Passion Fruit Puree,2,Iba Tiki; Porn Star Martini
Irish Whiskey,2,Irish Coffee; Tipperary
Dry White Wine,2,Kir; Pisco Punch
Tequila,2,Long Island Iced Tea; Tequila Sunrise
White rum,2,Long Island Iced Tea; Missionary’s Downfall
Mint Leaves,2,Missionary’s Downfall; Old Cuban
Fresh lemon juice,2,New York Sour; Penicillin
Sugar Cube,2,Old Fashioned; Sazerac
Pisco,2,Pisco Punch; Pisco Sour
Sweet Vermouth,2,Remember The Maine; Vieux Carré
Peychaud’s Bitters,2,Sazerac; Vieux Carré
Crème de Cacao (Brown),1,Alexander
A splash of Soda Water,1,Americano
Calvados,1,Angel Face
Crème de Violette,1,Aviation
White Peach Puree,1,Bellini
Coffee Liqueur,1,Black Russian
Tomato Juice,1,Bloody Mary
Worcestershire Sauce,1,Bloody Mary
"Tabasco, Celery Salt, Pepper (Up to taste)",1,Bloody Mary
Crème de Mûre,1,Bramble
Curacao,1,Brandy Crusta
Aromatic Bitters,1,Brandy Crusta
Cachaça,1,Caipirinha
Lime cut into small wedges,1,Caipirinha
Cuban Aguardiente,1,Canchanchara
Raw Honey,1,Canchanchara
Chilled Champagne,1,Champagne Cocktail
Grand Marnier (optional),1,Champagne Cocktail
sugar cube,1,Champagne Cocktail
Raspberry Syrup,1,Clover Club
Vodka Citron,1,Cosmopolitan
Superfine Sugar,1,Daiquiri
Goslings Rum,1,Dark ‘N’ Stormy
Gold Jamaican Rum,1,Don’s Special Daiquiri
Cuban Rum,1,Don’s Special Daiquiri
Passion Fruit Syrup,1,Don’s Special Daiquiri
Kahlúa,1,Espresso Martini
strong Espresso,1,Espresso Martini
Fernet Branca,1,Fernandito
up with Cola,1,Fernandito
Champagne,1,French 75
Amaretto,1,French Connection
Raspberry Liqueur,1,French Martini
Freshly Squeezed Orange Juice,1,Garibaldi
60ml Gin,1,Gin Basil Smash
Freshly Squeezed Lemon Juice,1,Gin Basil Smash
Italian Basil leaves,1,Gin Basil Smash
Splash of Soda Water,1,Gin Fizz
Grand Marnier,1,Grand Margarita
Crème de Cacao (White),1,Grasshopper
Crème de Menthe (Green),1,Grasshopper
Fernet,1,Hanky Panky
Rum,1,Hemingway Special
Fresh Lime,1,Hemingway Special
Ginger Ale,1,Horse’s Neck
Dash of Angostura Bitters (optional),1,Horse’s Neck
Ron Profundo Havana Club,1,Iba Tiki
Ron Smoky Havana Club,1,Iba Tiki
Licor Amaretto,1,Iba Tiki
Licor Frangelico,1,Iba Tiki
Gengibre Slice,1,Iba Tiki
Espadin Mezcal,1,Illegal
Jamaica Overproof White Rum,1,Illegal
Hot coffee,1,Irish Coffee
Fresh cream (Chilled),1,Irish Coffee
Sugar,1,Irish Coffee
Blackstrap rum,1,Jungle Bird
Campari,1,Jungle Bird
Pineapple juice,1,Jungle Bird
Freshly Squeezed Lime juice,1,Jungle Bird
Demerara sugar syrup,1,Jungle Bird
Crème de Cassis,1,Kir
Fresh Squeezed Lemon Juice,1,Lemon Drop Martini
Lemon juice,1,Long Island Iced Tea
Amber Jamaican Rum,1,Mai-Tai
Martinique Molasses Rhum*,1,Mai-Tai
Orange Curacao,1,Mai-Tai
Orgeat Syrup (Almond),1,Mai-Tai
Fresh Squeezed Lime Juice,1,Mai-Tai
Tequila 100% Agave,1,Margarita
Freshly Squeezed Lime Juice,1,Margarita
Freshly Squeezed  Orange Juice,1,Mimosa
fresh Mint sprigs,1,Mint Julep
Powdered Sugar,1,Mint Julep
Peach Brandy,1,Missionary’s Downfall
Honey Mix,1,Missionary’s Downfall
to 4 pcs Pineapple Chunks,1,Missionary’s Downfall
Mint Sprigs,1,Mojito
Tablespoon Absinthe,1,Monkey Gland
Tablespoon Grenadine Syrup,1,Monkey Gland
Smirnoff Vodka,1,Moscow Mule
Mezcal,1,Naked And Famous
Yellow Chartreuse,1,Naked And Famous
Rye Whiskey or Bourbon,1,New York Sour
Red wine (Shiraz or Malbech),1,New York Sour
Aged Rum,1,Old Cuban
Brut Champagne or Prosecco,1,Old Cuban
